Wind,Solar,Load,
0,0,80.50587263,0
0,0,87.69462823,0
0,0,67.9885623,0
0,0,41.30233252,0
0,0,35.8146591,0
0,0,39.36523535,0
0,0,39.32346127,0
0,0,35.79185291,0
0,0,33.93103091,0
0,0,34.82516897,0
0,0,36.98487286,0
0,0,39.64830554,0
0,0,38.6279942,0
0,0,33.08836018,0
0,0,33.69028309,0
0,0.18,42.19343164,0
0,0,33.64038754,0
0,0,32.61110338,0
0,0,36.79644887,0
0,0.103174603,87.73026456,0
0,0.985238095,82.98224053,0
0,1.543650794,84.46352525,0
0,3.134920635,73.78129576,0
0,3.977301587,77.03974235,0
0,5.322539683,79.33860394,0
0,7.137460317,72.67618899,0
0,12.42714286,74.06103877,0
0,12.3015873,73.61884914,0
0,12.56206349,76.24332173,0
0,12.44047619,71.97857999,0
0,11.93761905,68.93453641,0
0,8.40984127,68.22780494,0
0,8.593809524,69.61969747,0
0,6.700952381,53.37434594,0
0,7.810952381,53.98260449,0
0,5.855714286,57.03836586,0
0,2.683650794,61.63723614,0
0,0.816031746,63.93291691,0
0,0.227619048,65.78748822,0
0,0,74.99982424,0
0,0,77.17198511,0
0,0,88.83666258,0
0,0,114.3227583,0
0,0,106.4536808,0
0,0,98.77367482,0
0,0,101.6884201,0
0,0,88.21016002,0
0,0,120.9969277,0
0,0,59.63255553,0
0,0,71.96521609,0
0,0,65.87204257,0
0,0,37.84967453,0
0,0,75.52488834,0
0,0,35.93826853,0
0,0,34.72233816,0
0,0,34.49965033,0
0,0,36.27531809,0
0,0,34.42304883,0
0,0,34.1333604,0
0,0,40.39698625,0
0,0,38.48483047,0
0,0,35.57507928,0
0,0,33.30160023,0
0,0,38.91527226,0
0,0,34.0705533,0
0,0,35.59926116,0
0,0,43.06227392,0
0,0.18,50.87334274,0
0,1.051587302,91.71424658,0
0,0.739206349,77.9817941,0
0,1.194444444,77.15033067,0
0,2.157301587,74.02302927,0
0,4.567460317,69.96096913,0
0,6.886349206,64.41152904,0
0,14.64,62.98267944,0
0,15.82793651,59.24449454,0
0,12.40730159,70.0211695,0
0,13.71142857,68.49823381,0
0,15.54079365,68.67011033,0
0,15.76444444,51.0577372,0
0,16.43904762,43.55036566,0
0,9.413809524,41.18932705,0
0,9.123015873,39.88482291,0
0,6.196984127,38.06385602,0
0,3.675714286,41.47912608,0
0,0.727619048,45.1303353,0
0,0.103174603,51.59953854,0
0,0,48.3575421,0
0,0,51.07437212,0
0,0,56.26630089,0
0,0,57.47747349,0
0,0,61.25126761,0
0,0,50.73375708,0
0,0,51.07787921,0
0,0,48.16561813,0
0,0,46.43301754,0
0,0,42.95771168,0
0,0,38.73521173,0
0,0,48.48529025,0
0,0,77.59864816,0
0,0,60.41438918,0
0,0,68.37674846,0
0,0,65.36249623,0
0,0,66.14140506,0
0,0,63.33566868,0
0,0,26.39930958,0
0,0,29.58824595,0
0,0,35.51509961,0
0.702142267,0,30.10332224,0
0.6123806,0,24.83300169,0
0,0,25.06673426,0
0,0,32.16980085,0
0,0,34.64173766,0
0,0,31.45527418,0
0,0,29.2586359,0
0,0.18,33.4206975,0
0,2.268412698,28.89941385,0
0,0.871587302,30.91297441,0
0,1.268412698,32.68014586,0
0,2.10968254,31.77923539,0
0,4.075396825,59.59633804,0
0,6.941904762,28.10797731,0
0,14.59238095,34.23742377,0
0,16.97079365,36.96980463,0
0,17.16920635,32.26688385,0
0,17.28571429,34.54602982,0
0,17.35174603,32.01669318,0
0,16.38492064,26.74190904,0
0,15.14285714,27.40923247,0
0,14.48809524,40.60161442,0
0,12.27920635,34.54443331,0
0,9.03031746,37.44187317,0
0,4.649365079,39.38418944,0
0,0.919206349,35.84621242,0
0,0.047619048,41.45100102,0
0,0,39.4992872,0
1.848809342,0,43.61726217,0
5.75738,0,48.13180107,0
7.97642935,0,45.32185712,0
9.037620008,0,47.71816501,0
6.978571733,0,43.33692476,0
5.125238325,0,44.92038195,0
6.185953158,0,39.09243532,0
6.84571405,0,39.54966738,0
5.982617858,0,34.50542315,0
4.879285717,0,31.37666823,0
5.117142975,0,40.61901663,0
7.8745234,0,37.14254151,0
7.419285525,0,33.84988101,0
3.330237075,0,118.3785535,0
2.986667267,0,74.14716034,0
